,PWSID,COUNTY_SERVED
107654,GA2910000,
107682,LA1069010,Natchitoches Parish
107728,WA5334199,Spokane
107797,NC0351915,Johnston
107798,NC0351915,
107866,GA1870074,Lumpkin
107937,GA1590015,Jasper
108014,WA5325774,Spokane
108016,WA5359555,Spokane
108278,ME0092571,Cumberland
108280,ME0092571,
108376,PA7360316,Lancaster
108539,WA5373920,Franklin
108540,WA5323240,Franklin
108544,WA5310761,Franklin
108552,WA5315461,Franklin
108553,WA53AD330,Franklin
108558,WA53AD018,Franklin
108560,WA5351851,Franklin
108563,WA5314600,Franklin
108566,WA53AD027,Franklin
108815,NC4093006,
108885,GA1870077,Lumpkin
109126,GA0690081,Coffee
109173,GA1470073,Hart
109174,GA1470074,Hart
109198,NC0427117,Currituck
109201,NC0427120,
109202,NC0427120,Currituck
109547,ME0092630,Aroostook
109548,ME0092630,
109669,NC4093006,Warren
109868,GA1870060,Lumpkin
109870,GA1890001,McDuffie
109874,GA1890001,
110401,ME0092769,Lincoln
110402,ME0092769,
110411,NJ1006365,
110412,NJ1006365,Hunterdon
110615,NV0005076,Lyon
111249,PA2590313,Tioga
111340,AK2270972,Bethel Census Area
111344,AK2270972,
111345,AK2260511,Aleutians West Census Area
111346,AK2260511,
111488,NJ0608308,
111489,NJ0608308,Cumberland
111619,OH7537712,Shelby
111978,OH1246912,Clark
112012,GA0690066,Coffee
112013,GA0690066,
112024,GA0710004,Colquitt
112025,GA0710004,
112085,AZ0402407,
112086,AZ0402407,Cochise
112158,AZ0413228,Yavapai
112159,AZ0413228,
112353,GA1930001,Macon
112354,GA1930001,
112549,WA5301338,San Juan
112756,GA2910006,Union
112757,GA2910006,
112807,AK2270362,Wade Hampton Census Area
112808,AK2270362,
113031,GA2930000,Upson
113126,TX0270008,Burnet
113184,AK2260820,Bethel Census Area
113185,AK2260820,
113208,ME0106287,Cumberland
113209,ME0106287,
113300,GA1950003,Madison
113301,GA1950003,
113341,WA5301819,Spokane
113356,WA5307398,Grant
113545,GA1950049,Madison
113554,GA1970000,Marion
113557,GA1970000,
113568,GA1990004,Meriwether
113569,GA1990004,
113584,GA2050003,Mitchell
113585,GA2050003,
113602,ME0092787,Washington
113603,ME0002539,
113606,ME0090740,Franklin
113607,ME0090740,
113718,GA0770003,Coweta
113719,GA0770003,
113737,GA0770042,Coweta
113738,GA0770042,
113768,GA2370098,Putnam
113852,ME0008251,Piscataquis
113854,ME0008251,
113871,OR4191028,Harney
113926,NC0427465,
113927,NC0427465,Currituck
113994,GA2970002,Walton
113995,GA2970002,
114147,AK2340248,Nome Census Area
114148,AK2340248,
114257,GA3010000,Warren
114258,GA3010000,
114259,GA3010001,Warren
114260,GA3010001,
114261,GA3010004,Warren
114262,GA3010004,
114276,GA3030006,Washington
114310,WA5351724,Grant
114387,GA0770001,Coweta
114388,GA0770001,
114544,GA2070072,Monroe
114551,GA2090003,Montgomery
114552,GA2090003,
114553,WA5355914,Grant
114576,WA5392850,Grant
114596,WA5394110,Grant
114597,WA5357000,Grant
114791,GA2090007,Montgomery
114792,GA2090007,
114796,LA2127009,Winn Parish
114804,GA2110002,Morgan
114847,GA2110002,
115057,MS0300160,Jackson
115292,NC0382754,Sampson
115293,NC0382754,
115370,WA5302050,Thurston
115476,WA5309639,Walla Walla
115821,WA5359575,Thurston
116113,GA0730000,Columbia
116114,GA0730000,
116589,WA5387375,Thurston
116619,WA5385129,Walla Walla
116621,WA5392600,Walla Walla
116623,WA5388888,Walla Walla
116624,WA5309300,Walla Walla
116628,WA53AA597,Walla Walla
116638,WA5309626,Walla Walla
116667,WA5334889,Stevens
116675,PR0003752,Vega Baja Municipio
116676,PR0003752,
116719,WA5349954,Island
116730,GA1130000,Fayette
116732,GA1130000,
116733,GA1130001,Fayette
116769,GA2210000,Oglethorpe
116770,GA2210000,
116771,GA2210001,Oglethorpe
116772,GA2210001,
116773,GA2210002,Oglethorpe
116776,GA2210047,Oglethorpe
116890,WA5304402,Grant
116966,GA1490000,Heard
116968,GA1490006,Heard
117125,WA53AB689,Grant
117142,WA5328400,Grant
117203,GA1490006,
117219,GA2110055,Morgan
117241,GA2170002,Newton
117242,GA2170002,
117243,GA2170003,Newton
117244,GA2170003,
117262,GA2170014,Newton
117265,GA2170014,
117279,WA5322030,Island
117280,WA5310992,Island
117513,WA5310988,Island
117530,WA5310590,Island
117540,WA5326791,Island
117577,ME0092409,
117579,ME0092409,Washington
117654,NY4501765,Saratoga
117655,NY4501765,
117674,NC0351410,Johnston
117675,NC0351410,
117922,WA5386202,Island
117923,WA5318450,Island
117926,NC0276128,
117929,NC0276128,Randolph
117963,WA5372150,Island
118141,WA5304461,Franklin
118162,WA5386100,Franklin
118163,WA53AD017,Franklin
118168,WA5313451,Franklin
118173,WA53AB974,Franklin
118182,WA5335335,Garfield
118188,WA5301143,Grant
118192,PA3060437,Berks
118211,GA2170094,Newton
118229,GA0550003,Chattooga
118230,GA0550003,
118241,GA0570006,Cherokee
118253,GA0590000,Clarke
118254,GA0590000,
118393,WA53AB879,Grant
118405,WA53AD979,Grant
118410,WA53SP690,Grant
118427,WA53AC005,Grant
118430,WA53AC812,Grant
118523,GA1570001,Jackson
118524,GA1570001,
118535,GA1570039,Jackson
118536,GA1570039,
118537,GA1570117,Jackson
118538,GA1570117,
118539,GA1570120,Jackson
118540,GA1570121,Jackson
118541,GA1590000,Jasper
118542,GA1590000,
118546,GA1590004,Jasper
118549,GA1610001,Jeff Davis
118550,GA1610001,
118726,GA1850331,Lowndes
118727,GA1850331,
118785,ME0090520,Hancock
